author,published_at,like_count,text,is_reply
@woodzelit,2025-08-13T10:30:32Z,0,"<a href=""https://www.youtube.com/watch?v=9h7KzgUgbIA&amp;t=405"">6:45</a> 끓는물에 손가락 들어가는데 안뜨거우신가요??ㅠㅠ 역시 미슐랭셰프는 다른건가.. 나였음 대환장 난리났음ㅠㅠㅋㅋㅋㅋㅋ",False
@리r-c4k,2025-08-13T10:30:02Z,0,재밌어요~~❤❤,False
@주제없음-n3h,2025-08-13T10:29:31Z,11,와 진짜 외모가 경이롭다...,False
@스폰지밥6v6,2025-08-13T10:26:42Z,8,대박 윤아님이라니,False
@user-vv3kv9kg4n,2025-08-13T10:26:25Z,29,미모 3스타와 미슐랭 3스타의 만남ㄷㄷ;,False
@flyingV1-k5m,2025-08-13T11:00:32Z,0,미모 4스타 (대장) 이 아닐까요? ㅎㅎ,True
@mo9806,2025-08-13T10:25:08Z,15,융 이 넘 이쁘고 사랑스럽다,False
@wldbs53,2025-08-13T10:24:36Z,42,윤아 셰프복까지 입으니까 진짜 요리 레슨같고 안성재 셰프님이랑 진심으로 얘기하고 배우는 거 너무 좋고 재밌다,False
@선영박-p9f,2025-08-13T10:24:32Z,5,윤아님과 어울리는 메뉴네요. 재밌고 기분좋게 봤어요.,False
@yeooop,2025-08-13T10:24:11Z,1,와이프한테 혼날까봐 댓글 좋아요 못 누르는 안성재면 개추,False
@박연순-b6d,2025-08-13T10:24:10Z,1,융 사랑합니다 💜 💗 💕 ❤️,False
@SnsdForever89-91,2025-08-13T10:22:29Z,9,"YoonA looks like a real chef, she only ask important questions, she’s so clever",False
@3eok,2025-08-13T10:22:17Z,15,게스트가 게스트인지라 유독 머리스타일에 힘을 준 것 같은 느낌,False
@yellow8601,2025-08-13T11:18:49Z,0,ㅡㅅㅡ* <br>예리한 시청자들,True
@indahputriarbazein8484,2025-08-13T10:21:06Z,2,Chef Yoong🔥🔥🔥,False
@강동휘-z9l,2025-08-13T10:21:05Z,9,세프님표정이 어느때보다더밝으시네요,False
@토백-d2u,2025-08-13T10:18:35Z,19,셰프님과 윤아의 만남이라니...🖤,False
@Spicyuu730,2025-08-13T10:18:21Z,1,”아무맛도 없고 아무의미도 없는…“😮,False
@lngumg,2025-08-13T10:18:18Z,2,윤아 보러왔습니다 폭세세프 기대되요,False
@KingMuuu,2025-08-13T10:17:55Z,0,투샷 왜 어울리지 ㅋㅋㅋ,False
@dwanhsung,2025-08-13T10:16:04Z,3,"<a href=""https://www.youtube.com/watch?v=9h7KzgUgbIA&amp;t=502"">8:22</a> ㅇㄴ 자연미 아름답다고 하시고 바로 부수는 거ㅜㅋㅋㅋㅋㅋㅋ",False
@hjjjjj1804,2025-08-13T10:15:05Z,2,Thank you chef❤,False
@fing-q4o,2025-08-13T10:14:23Z,0,일단 좋아요박고봄...,False
@user97149,2025-08-13T10:13:27Z,2,윤아님 폭군의 셰프 많이 기대해요🩷,False
@안뇽-o9y,2025-08-13T10:12:58Z,3,"이븐이가 아니라 이쁜이 같아요,,!",False
@user-kj5ud4pj8p,2025-08-13T10:10:49Z,1,最高のアシスタント😍😍🫶🫶,False
@Maybebebeb,2025-08-13T10:10:08Z,4,안성재 쉐프님도 윤아님 앞에서 <br>이븐한 눈웃음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,False
@Maybebebeb,2025-08-13T10:08:57Z,5,헐 윤아님이 ❤,False
@dfkjdicndkgqh_df,2025-08-13T10:08:30Z,6,윤아 제대로 배우고 가네 분위기 넘 좋다… 아내분이 이 영상을 싫어하겠습니다 ㅋㅋㅋ,False
@asdasghtdsschhfd,2025-08-13T10:07:51Z,6,진짜 이쁘다,False
@JB-ho6dw,2025-08-13T10:06:56Z,1,제발 침착맨같은 게스트 넣어주세요 요즘 너무 행복하시네,False
@zu2hzmdj,2025-08-13T10:05:53Z,9,셰프님 너무 좋아하시네ㅋㅋㅋㅋ,False
@ZzamgBbong,2025-08-13T10:04:41Z,2,비와서 축축했는데 윤아얼굴보니 해떳는지 밝아졋메요 ㅎ,False
@Kairamzen,2025-08-13T10:04:41Z,2,❤🥰😍 Yoona is so fine,False
@무슨의미,2025-08-13T10:03:53Z,101,안성재 셰프 이렇게 내내 활짝 웃는거 첨 봬요 ㅋㅋㅋ,False
@Min-h7u,2025-08-13T11:16:35Z,0,😂😂😂,True
@준혁김-p7n,2025-08-13T10:03:25Z,15,윤아보러왔습니다.,False
@은정-u2v,2025-08-13T10:03:02Z,13,게스트가 요리에 대해 잘 알고 관심있어하니까 질문 수준이 좋다 우리가 궁금해하는 것들을 대신 물어봐주는 느낌?,False
@옥수슈-t5u,2025-08-13T10:02:56Z,55,윤아씨 요리에 진심인 것 같아서 안솊이랑 말이 잘 통하네요 예뻐❤,False
@lIlIlIIIllIlIlIlI,2025-08-13T10:02:36Z,6,윤아가 요리하는 모습을 방송으로 또 보게 되다니 안성재거덩요 ㅈㅉ ㄱㅅㅎㄴㄷ🩷,False
@user-youm7793,2025-08-13T10:02:26Z,2,이형님 섭외력 쩌노ㄷㄷ,False
@mydreamisuncledrew,2025-08-13T10:01:07Z,5,카리나 이전에 윤아가 있었다<br>여전히 개 이쁘네..,False
@이혜정-l3l,2025-08-13T10:00:33Z,39,윤아씨 세프 찰떡이네요 아름다운 임윤아 셰프님,False
@120kg-t2u,2025-08-13T09:59:53Z,13,윤아님 진짜 동안이시네 ㅋㅋ,False
@hanle-ee3ye,2025-08-13T09:59:00Z,0,❤❤,False
@Miu201Miu,2025-08-13T09:57:54Z,4,Yoona so pretty,False
@쉬운안녕-d4u,2025-08-13T09:56:47Z,3,헐 선녀같다,False
@nhytabaluena1967,2025-08-13T09:56:43Z,4,YOONA FIGHTING,False
@gom1049,2025-08-13T09:54:04Z,6,??? : 형수님 여기에요!!! 형수님 여기에요!!!,False
@염대준사회자,2025-08-13T09:52:24Z,2,7등!,False
@짱구-b4m,2025-08-13T09:51:58Z,21,윤아 진짜 여전하네 아이돌 센터의 정석,False
@Luludad93,2025-08-13T09:51:21Z,1,실제 소녀시대팬카페 수영남푠 쳐봤는데 진짜있었음 ㅋㅋㅋㅋ,False
@이혜정-l3l,2025-08-13T10:01:53Z,1,안성재 셰프 아니예요,True
@Luludad93,2025-08-13T10:05:36Z,1,​​@@이혜정-l3l아녀 나폴리맛피아 소녀시대 팬카페 닉말한거에요 ㅎ,True
