author,published_at,like_count,text,is_reply
@유진국-p7v,2025-08-18T12:25:35Z,0,기업들 또 쥐짜려하네. 기업부담 덜어줘봐 알아서 일자리 창출하지. 쥐짜니 외국으로 튀지,False
@user-po8ti9ld4f,2025-08-18T12:22:59Z,0,안그래도 흙수저로 태어나서 일하는게 억울한데,False
@user-xq7on1bk6m,2025-08-18T12:17:31Z,0,창의력 키우는 교육받은 사람들의 피해다 창의력이 높을 수록 단수노동 같은거 못하니깐,False
@jaehyuklee2357,2025-08-18T12:16:33Z,1,기업이 신입을 안뽑는데 왜 청년들에게 책임을 전가하나,False
@user-xq7on1bk6m,2025-08-18T12:28:22Z,4,알바도 1명뽑는데 20명지원하는데 어쩌라고? 지원안하고 말지,True
@방패닭쥐,2025-08-18T12:06:22Z,7,정말 이해가 안되는게 국가에선 기업들 해외로 싹다 이주시키려고 발악하는데 그 기업들이 사람을 뽑겠음? 정부에서는 이치에 맞는 행동을 하기 바람,False
@감자밭-i1m,2025-08-18T13:38:36Z,0,외국인이 다차지해서 갈때가없긴함,True
@파트라슈-s6d,2025-08-18T12:00:48Z,0,민주당에서 집권하면 조져대니 기업에서 투자안하고 몸사린다고들었음 삼성친구한테,False
@수상한낚시꾼,2025-08-18T11:59:16Z,6,그노무 실업급여  . 사람망치고  나라망치고,False
@이천희-d3o,2025-08-18T12:29:57Z,1,그 실업급여 가장많이타먹는게 5060인디요,True
@사랑-h2l,2025-08-18T11:51:42Z,0,자본주의에 역행하는 정부의 정책이 더 우려스럽네요. 이제 기업들 짐싸야 합니다. 정말 무서운 시대가 오고 있네요. 내란수괴 더불어공산당을 군이 방임한 결과죠. 우리 국민은 나라망치는데 천부적인 재능이 있는거 같네요,False
@이동준-k8f,2025-08-18T11:49:01Z,1,대박이다,False
@남성진철만,2025-08-18T11:44:43Z,2,당근 알바에 다몰렸다 당근알바 5분에<br>20명씩 지원한다. 다만나 보구 말해보면<br>취업이 안되서 이거라도  한다고한다.<br>심각하다,False
@버블-k5b,2025-08-18T11:45:35Z,1,알바가 이거라도가 아님...알바도 안됨...이게 현실임....뉴스는 한발 늦음...,True
@user-xq7on1bk6m,2025-08-18T12:18:44Z,0,알바를 왜해 적성에 괜히 알바 갔다가 짤리고 술먹지말고 코딩공부해서 글로벌하게 돈벌자,True
@버블-k5b,2025-08-18T12:28:29Z,0,​@@user-xq7on1bk6m갑자기 웬코딩? 코딩도 한물감..,True
@galbo-06m,2025-08-18T12:45:25Z,0,​​@@user-xq7on1bk6m미국도 그렇고 그쪽업계가 해고 가장 심각한데ㅋㅋ 취업도 헬이고,True
@어반자카파차하차,2025-08-18T11:40:45Z,0,나라가 나락가는구나..,False
@버블-k5b,2025-08-18T11:39:16Z,2,일단  청년들 받아주고 말하쇼 그리고 얼마나 ㅈ같으면 안가겠냐 일하는 거 치고 급여가 적으면 당연히 안가지 철저히 자본주의다.<br><br>*(쉬었음만 보도하지말고....급여는 8090때랑 거의 비슷하고 일하는 강도는 거의 옛날보다 더한데......에휴<br>라떼라떼 거리다가 이지경이 되었으니..할말더않..),False
@COOKKKUK,2025-08-18T11:32:36Z,0,대통령이 말아먹는 세금이 더 많음,False
@TTMA-f5y,2025-08-18T11:31:55Z,0,리짜이밍 뭐하냐 일자리 미국으로 다보내고 잡범하는짓이 세금걷는 대갈만쓰지,False
@소나무-z1n,2025-08-18T11:25:21Z,0,요새 기업들이 돈벌이에 미쳐가지고 자국민이 놀고있던 굶고있던 해외투자나 하고 미쳐가고 있다.,False
@elroha_,2025-08-18T11:23:11Z,0,지가 알아서 도태되는건데 경쟁안하고 좋지 왜그리 뭐라하냐,False
@keeseesee,2025-08-18T11:22:55Z,0,37살 백수 다녀감,False
@KoreanFarM-bj9cx,2025-08-18T11:22:05Z,0,밥값은 해라,False
@Rio_Hamasaki_forever_love,2025-08-18T11:15:02Z,9,"알바도 너무 안 구해지더라<br>특정 상호는 쓸 수 없지만<br> 프차 카페 , 개인카페 , 샌드위치만 만드는 프차 , 디저트 , 빵 , 아이스크림 ,  빙수 만드는 프차  이런곳들<br>개나소나 다 하는 일을 무슨 경험자???? 경험자?????경험자???????경험자????????????? 경험자????????????🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬<br>아무것도 아닌일을 이것들이 경험자를 그렇게 찾네<br>초딩들도 할 수 있는 진입장벽 존나 낮은일을 무슨 경험자를 그렇게 찾냐??????????????<br><br>근데  초보자를 구하는 곳도 있어<br>근무조건 보면<br>연령무관 성별무관 학력무관 초보가능이라고 되어있어서 지원하면<br>또 이것들이 지원한 사람들 중에서도 또 존나게  골라요<br>그냥 하고 싶은사람 선착순으로 뽑으면 되지  무슨 대단한 일이라고<br>막상 뽑은 애들보면 지들이 다루기 편하고 부려먹기 편한 어린 여자 애들만 존나게 뽑았더라 <br>그런데 어린 여자애들만 존나게 쳐 뽑아놓고<br>알바하는 애들이 일을 못한다니 끈기 없다니 일찍 그만둔다니 투정은 존나게 해요 <br>쌤통이다 고문관 같은 여자애들만 걸려서 계속 마음고생해라<br>또 면접하고 갈때 연락을 준다면서 연락이 없네???  애초에 말을 말지 사람을 개무시하는 것도 아니고<br> 가게에 가서 개진상 짓 한번 할까 하다가 아무 죄도 없는 어린 알바들이 일하는거 보고 참았다.........<br>알바생들 화이팅 하고~❤❤️👍👍👏👏<br>사장들은 알바생들 때문에 마음고생 몸고생 정신적인 스트레스 많이 많이 많이 받고🎉🎉🎉🎊🎊🎊🙏🙏🙏",False
@suchanx7,2025-08-18T15:11:17Z,1,ㅋㅋㅋㅋ카페 베이커리 같은곳만 임시직 구하는곳이 아니라 일반음식점 숙박업 제조업들도 사람 엄청 구합니다.<br>얼마든지 열려있으니 골라 가시면 되요.,True
