author,published_at,like_count,text,is_reply
@자연-f2l,2025-08-18T15:17:28Z,1,저 양아치놈 더 이상 안봐서 속이 시원. 입만 열면 거짓말에 남을 괴롭히는게 취미인 놈인지라 결국 감옥에서도 빤쓰 난동 .,False
@n006-s2u,2025-08-18T15:16:03Z,0,그놈의 격노,False
@JenniferHappy195,2025-08-18T15:15:45Z,0,개석렬...영원헤 감옥에.,False
@storm2513,2025-08-18T15:15:21Z,0,보면 볼수록 인간이하의 인간이다,False
@밝음,2025-08-18T15:14:06Z,0,나라를 완전 개판으로 운영했네,False
@보리보리-e7y,2025-08-18T15:11:23Z,0,윤건희가 나라를.쥐락펴락하니 대한민국 전체가. 섞어 문드러 졌구나 윤건희 사형시켜야 합니다,False
@한정우-i1p,2025-08-18T15:10:09Z,0,뻔뻔한종자.,False
@kennykim5498,2025-08-18T15:08:44Z,0,국민을 이렇게 무시하는데 여기에 참여한 모든놈들 반드시 색출해서 처벌하여야 한다!!!!!,False
@체게바라-z7t,2025-08-18T15:07:18Z,0,상처를 남긴게 어디 언론 뿐이랴..<br>온 국민 기억속에 트라우마를 새겨 논 인간인데..,False
@traveljiny7195,2025-08-18T15:05:19Z,1,참담하다.,False
@로그아웃-n5v,2025-08-18T15:05:18Z,0,"윤도리도리, 윤멧돼지, 윤술꾼, 윤거짓말쟁이......<br>인간이 기본이 안되어있는데....그것을 옹호하는 자들은 도대체 어떤 뇌구조를 가지고 있을까? <br>인류과학을 위해 다 잡아다가 뇌연구를 해봐야 한다....",False
@r___h-lv,2025-08-18T15:07:09Z,0,재명이 좋아하는 사람들 뇌구조도 이해가 안가 ㅠㅠ,True
@사람-j6j9q,2025-08-18T15:04:41Z,0,쯧쯧쯔...,False
@유흥민,2025-08-18T15:02:02Z,0,성지호판새 잊지맙시다!!!!!!!,False
@facilitymanagement8955,2025-08-18T15:00:50Z,0,에라이 도리도리야....  그래 안하무인 니 무식한 성질대로  날뛰다가 이제 감방 만족하냐?  이 모든 것이 니가 쌓은 업보다. 누굴 원망하겠냐. 언감생심 대통령이 웬 말이라더냐. 지금쯤은 후회라도 하려나?    혹  아직도 계엄에 대한 일말의 미련이나 희망이 있는 것은 아니겠지? 아무튼 더운 감방 생활 잘 적응하고 사형 달게 받아라.,False
