author,published_at,like_count,text,is_reply
@김태옥-b1n,2025-08-18T14:12:20Z,0,주간염 나쁜놈,False
@투투-e1g,2025-08-18T14:09:26Z,0,욕하는것도 아깝다. 범죄가족,False
@fightingk1110,2025-08-18T14:08:50Z,0,"김진우,주진우 쌍으로 진우 빵가면 좋은 세상.",False
@lemonyellow33,2025-08-18T14:07:59Z,0,발본색원해서 수사 처벌. 자격 박탈해야 한다!!,False
@까데니,2025-08-18T14:07:11Z,0,이들의 범죄는2025년 대한민국을  약 40~50년전의  대한민국으로 후퇴하게 만들었다는 것이다. 이 정도의 과오는 그냥 형법으로 처벌해야하는것이 아니다. 조선시대의 역모 처벌보다 더 한 형을 집행해야한다.,False
@snsem457,2025-08-18T14:06:17Z,0,주진우  ㅋㅋㅋ,False
@drj2249,2025-08-18T14:05:05Z,0,주진우 함 털어보자,False
@koreamallmaster,2025-08-18T14:03:10Z,0,"주진우는 이거 외에도 재산, 병역 등 싹 다 털어야 한다…썩은 냄새가 진동을 한다….",False
@lek-j5d,2025-08-18T14:02:26Z,0,구속되서는 형 제대로 살았나? 병원쇼핑 한 건 아니고?,False
@Hardin__lee,2025-08-18T14:01:31Z,0,진우아들은 진우깜빵가도 돈많아서 ㄱㅊ<br>그나이에 돈을 어떻게 그리벌었는지 배우고싶네 ㅋㅋ,False
@namu4127,2025-08-18T14:00:09Z,0,제네들 다 잡아 넣어주세요 😢,False
@JuN-v1n,2025-08-18T13:59:09Z,0,순사님 참... 재밋다니까,False
@지삼출,2025-08-18T13:58:35Z,0,일병이병삼병사병 주진우 잘가라,False
@박형식-x6q,2025-08-18T13:57:43Z,0,18. 주진우 같잖은인간도 당장 수사해라,False
@드래곤-i2h,2025-08-18T13:47:34Z,0,아직도개비씨보나?,False
@송관식-c4u,2025-08-18T13:47:23Z,0,싸가지들하고는...별걸 다 보도하네.. 저격수 주진우 잡기인가? 느그들 엄마가 감방가도 그냥 있냐?,False
@최영일-n5g,2025-08-18T13:47:19Z,0,쥴리가 대통령이었네 ㅋㅋ,False
@김태훈-u3m,2025-08-18T13:46:30Z,0,박지도 양지 살긋다 너처럼 안살면,False
@soka00386,2025-08-18T13:45:29Z,0,"개만도 못한 인간들  그 댓가로  국회의원 공천,  등등  권력의 개로 부족해 나라를 망가뜨리고 있다.",False
@ymm1126,2025-08-18T13:43:45Z,0,희대의 악녀들! 무기징역 갔으면 하는데..참..,False
@user-ktube,2025-08-18T13:43:05Z,0,ㅋㅋㅋㅋ주진우야 ㅋㅋㅋㅋㅋ 잘가~~ 빠이빠이야~~~ 너같은 인간이 뻔뻔하게.. 하::,False
@귀염둥이-x7w,2025-08-18T13:41:00Z,0,살다살다 이렇게 사기꾼 집안은 처음본다 <br>하긴 사이비 종교집단 집안은 매번 사이코패스,False
@감성과이성,2025-08-18T13:39:00Z,0,주진우 저것도 특검해야,False
@Bbangggggg,2025-08-18T13:38:46Z,0,주진우 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 쟤 유툽에서 뭐하나 맞는것도 없어 아는 것도 없어 그냥 샤바샤바나 하는애네,False
@애플-s7v,2025-08-18T13:38:29Z,0,주지누 잡아라 😊,False
@user-pj2ld4dj4v,2025-08-18T13:38:02Z,0,"주진우,권성동,나경원,김기현 국힘4",False
@고진옥-q7f,2025-08-18T13:37:59Z,0,주진우가 설친 이유를 몰랐는가 ???  저런놈을 뽑은 해운대 구민들이 더 웃긴다. 아예 멀뚝한테도 짝을것이다. 에라이 !! 썩을,False
@고진옥-q7f,2025-08-18T13:36:40Z,0,주진우 낙하산거니공천 이다. 저 얍실한 조작거짖 주진우를 구속수사하라!! 아들한테 현금7억  해운대집도 없는놈이  무슨 의원이라고 일도 안하는놈 이다.  열불난다.,False
@brendenkim5447,2025-08-18T13:36:26Z,0,주진우 거짓말 잘하고 비 논리로 우기기 잘하는 양심없는 인간 선두 그릅에 들지 참 저런인간들이 우리가 낸 세금으로 저러고 있으니 슬프다,False
@jasonchoi257,2025-08-18T13:35:46Z,0,독재했으면 국민정서상 그냥 피살이었지. 차라리 감옥서 연명해라,False
@kijoonsung3949,2025-08-18T13:35:03Z,0,검찰청 연내 폐지! 정의는 없고 아첨과 출세욕만 가득한 조직,False
@msk9838,2025-08-18T13:32:55Z,0,어버버하면서 구린짓은 다하네,False
@정은주-v3b,2025-08-18T13:32:28Z,0,검찰 공화국. <br>검찰 혁파!!!,False
@독도는우리땅-z6f,2025-08-18T13:31:45Z,0,검새들.. 그래도 사회초년생 시절에는 부모들에겐 자랑스런 자식이었을테고 정의를 향한 열정도 조금씩은 가지고 있었을텐데.. 사욕을 위해 공공의 적?.이 된거에 대해서는 모두 처벌을 받고 인생학에 대해 허심탄회하게 생각해보길..ㅠㅠ,False
@aprochwa,2025-08-18T13:30:47Z,1,어찌; 입만 열면... 다 거짓이냐!! 참 뻔뻔해,False
